"time" "MAK" "HER" "WHK" "BLF" "WPF" "SUF" "WIF" "WTF" "FOU" "HAL" "PLA" "FLA" "BFT" "TUN" "BIL" "MPF" "BUT" "BPF" "ANC" "GOO" "MEN" "FDE" "COD" "SHK" "OHK" "POL" "RHK" "BSB" "SCU" "TYL" "RED" "OPT" "SAL" "DRM" "STB" "TAU" "WOL" "SDF" "FDF" "HAD" "YTF" "DOG" "SMO" "SSH" "DSH" "BLS" "POR" "PSH" "WSK" "LSK" "SK" "SB" "PIN" "RWH" "BWH" "SWH" "TWH" "INV" "LSQ" "ISQ" "SCA" "QHG" "CLA" "BFF" "BG" "LOB" "BMS" "NSH" "OSH" "ZL" "BD" "MA" "MB" "SG" "BC" "ZG" "PL" "DF" "PS" "ZM" "ZS" "PB" "BB" "BO" "DL" "DR" "DC" "DIN" "PelDemRatio" "PiscivPlankRatio" "DivCount" "InfEpiRatio" "BSSslope" "HabitCover"
730 341296.053936 386717.032774 58672.98533 106641.138448 14883.897735 104961.952594 109595.338575 56074.542451 12718.11384 52600.120679 55751.603861 2794.365939 37457.180024 791144.780545 108899.431311 1754.77831 364425.759092 347889.480612 332446.760304 100822.14755 4043547.366102 93270.832496 98774.463043 1284649.731589 6755.227693 241137.65789 286096.675298 35632.697707 190248.354235 9774.54198 136059.370486 31257.927803 5730.460315 430376.557391 280353.526261 617.805681 4672.548984 2922140.114153 572002.769501 224002.353031 131570.161371 264993.737205 123285.478703 11965.541364 713930.010102 2176.91679 14901.238612 132562.333915 487800.729864 467514.407234 125601.774512 1486.401434 1883.320111 5202.02653 13054.093351 10106.555379 5783.169046 1921.588738 53839.254236 13344.059539 216666.291808 3986863.195281 6586632.470972 15175652.076942 5780268.847298 278149.648348 758664.612267 61809.568216 186589.672417 2741490.427626 3675482.970315 0.000301 0.081855 0.532209 6038673.139166 1295803.693496 5149185.614681 664607.102452 3684310.575645 3840078.011444 2944537.633999 36192.076934 479423.594205 60483998.405988 109263.489535 4039317.57773 0 489715130.44045 0.29421 6.000764 60.318182 1.853591 214.756251 1.477017
803 343892.963856 425189.333689 58931.359084 105327.348202 15073.478974 106018.818534 98129.270231 56074.748842 12896.989101 53560.676026 56319.204642 2930.875254 43267.45505 896106.447355 127101.532249 1826.438884 385466.23049 364878.390628 340030.532356 110485.77984 4156971.182913 79607.538682 87821.424086 1402017.293939 7136.323018 216885.370982 307968.384392 35777.691157 200513.826998 9731.44804 136587.046674 32024.393872 5866.403005 437485.07089 279954.03848 620.3265 4120.332163 2576818.652908 526239.680897 185003.979781 111781.580172 269898.428119 127280.431467 12209.155513 748297.657483 2176.91679 14901.238612 132562.333915 497267.653326 481899.541222 126592.606162 1486.401434 1883.320595 5202.02653 13054.093351 10106.555379 5783.169046 1745.202177 45746.759655 11258.389501 215540.237144 3985263.173692 6578429.907893 15162597.744846 5803049.583737 278903.054088 761609.135209 60016.469741 169226.854443 2960418.256348 3670727.712827 0.000301 0.082232 0.116243 6042136.58872 1291981.518278 5262752.764063 680244.140542 3116800.453563 3795564.9868 2282589.885966 25971.016319 456021.162752 60513981.491834 84272.868283 3033099.616142 0 498645929.634866 0.304785 6.089668 61.681818 1.853594 210.291949 1.475566
876 345822.898862 464970.970369 59163.154446 104914.385799 15273.60748 107322.380284 98599.932674 55591.07304 13074.752027 54483.70272 53337.880914 3059.080344 55838.937655 1020378.612174 166193.350006 1894.730993 301457.382474 298062.540556 288859.892101 119337.947943 4273747.083809 84113.189263 91159.942618 1526483.009762 7488.864507 221415.005362 328561.427988 36006.37914 212286.322503 9684.907497 133631.670609 28108.995008 5987.304529 450170.223029 279569.416645 623.444217 4227.402534 2639823.196369 534543.497787 197235.036003 111354.504973 275266.37054 131830.725774 12475.112981 786166.170673 2176.91679 14901.238612 132562.333915 502551.96629 493334.79193 127606.501498 1499.221882 1883.32085 5607.136047 13637.97516 10372.828545 5936.207484 1788.80368 39405.587852 9712.652353 214469.572463 3985114.656469 6573076.765421 15151143.546245 5830677.668473 279499.056609 764506.641958 58423.004493 155231.137504 3205860.737338 3666324.525567 0.000301 0.082435 0.054861 6045356.622746 1287994.681501 4925397.107403 596939.145864 3770308.471452 3756179.212867 2500150.369007 36490.807743 432816.411142 60557090.434646 117907.744269 2529735.708575 0 507414054.856092 0.370198 2.14398 67.636364 1.853524 231.274959 1.474712
949 334997.114385 517738.550155 55489.521291 93896.536896 13758.331307 111446.785812 102589.850201 55585.921738 12422.341506 51918.821399 52920.847501 2771.008925 53986.761304 1003703.803035 164869.572105 1591.051146 343617.764369 341225.219735 317991.200299 130105.009926 4445132.747871 90284.672692 96562.559688 1382800.705674 6205.384424 226173.700639 274179.787143 32409.071248 188172.929159 9287.632402 135812.595302 29177.552482 6136.664038 369153.184835 272476.419719 559.679248 4340.000216 2728048.013256 543891.654491 210520.902906 119475.207603 259284.666999 116058.419043 10935.990821 694011.541115 2220.064542 15068.739833 143713.952717 464821.33236 412268.790638 117906.137967 1339.90874 1882.382306 5098.645213 12229.634276 10370.933482 5936.190067 1839.426612 31399.836013 7720.48421 213811.254184 3983478.060975 6564124.461194 15132733.075818 5903581.629569 280530.619244 768854.704664 57026.566812 141550.413474 3618603.159876 3666410.345262 0.000301 0.083184 0.001845 6049144.645098 1281067.046326 3461306.69643 543090.822297 4352221.966531 3852248.208302 3415508.290398 54434.665789 407704.501221 60659352.243573 159140.012358 3183743.756559 0 524116850.435928 0.41331 2.06293 69.954545 1.853133 218.515669 1.472809
1022 348055.956815 464006.44309 53768.145061 99922.842074 14070.777439 107885.363188 106097.371894 54581.368954 12429.05215 52372.149412 53775.247276 2922.121403 52927.25447 993849.213182 164141.758749 1714.208434 392264.253045 383771.099774 342478.909109 110270.43379 4201852.436037 97463.066979 102800.251795 1540594.26543 6839.190767 231644.318733 305039.446779 34023.701239 220988.083076 9300.579496 136803.867136 30356.660039 5689.919983 396778.775577 272315.710313 581.105958 4471.128536 2829982.198992 554648.551351 226080.10207 128506.678015 270637.834213 127231.281528 11577.960055 782672.229914 2208.759558 14869.594221 130500.463227 486978.775661 427620.377122 119169.453229 1573.67783 1882.376879 4540.145509 10810.070725 10351.999074 5926.648251 1896.879433 24649.242229 5958.020381 213343.765469 3982358.640925 6554947.472523 15111326.690911 6013987.215257 281710.405784 774047.956968 56401.204495 131645.518361 4140085.895893 3668530.007495 0.000301 0.083915 0.000301 6053410.550548 1272875.613777 5125800.135178 581759.635125 5227144.357961 3936912.096665 3884816.935731 61500.550171 386214.914552 60776153.956443 175070.423238 4317645.921413 0 548560757.568118 0.298117 4.556519 65.590909 1.851326 176.049885 1.470558
1095 356962.193327 512980.56947 54989.896269 100311.770646 14508.825794 111118.829216 109035.739343 54680.625765 12719.238128 54163.647351 54653.07205 3089.876597 52927.25447 993849.213182 164141.758749 1828.694618 423383.749584 414704.82516 359178.216231 119256.170346 4460778.005821 103013.738969 109280.413501 1678567.36207 7369.358316 237253.756318 333670.980312 34657.1347 240137.584023 9307.196872 138078.774082 31540.518833 5876.923498 415177.255809 271801.25318 591.309956 4610.05081 2912790.798354 564069.210766 241862.683554 136551.879827 279709.240845 133803.83803 11992.49378 839994.511842 2208.759558 14869.594221 130500.463227 505819.64191 446986.16002 121996.485069 1573.67783 1882.37642 4491.665776 10683.161041 10351.185087 5926.643442 1945.062953 50225.873394 12298.659717 212553.081639 3981961.765066 6548888.359707 15095347.804478 6083732.652136 282356.683495 778422.565614 60279.551121 178445.915038 4459132.00654 3667701.57273 0.000301 0.08408 0.000301 6057401.578672 1267675.777759 4954554.811868 736537.077474 3684364.535173 3868394.368649 2931805.136129 36262.753845 368830.432298 60847838.551513 110162.961973 4168808.382725 0 566074939.88034 0.295772 6.708155 60.272727 1.850169 165.897454 1.469011
1168 359942.595124 578891.10764 55475.607447 99303.201983 14742.441444 113828.423437 96821.487986 54733.938488 12930.278459 55524.250293 55382.615114 3207.472327 60281.05851 1122782.858007 190553.812261 1919.498478 441718.7097 436783.54521 367641.408949 133717.730035 4593031.230696 86256.553909 97040.749258 1778376.737673 7775.607905 209483.534811 355720.079395 34881.389414 251931.362108 9284.988505 139287.692021 32485.279725 6020.822763 421543.533046 271379.59334 596.046654 3961.765761 2499607.870717 509248.781771 199876.073461 116680.130304 286031.25353 137869.077668 12263.152982 877524.432036 2208.759558 14869.594221 130500.463227 518854.022079 459651.648396 123372.133222 1573.67783 1882.3774 4491.665776 10683.161041 10351.185087 5926.643442 1743.916031 40042.16496 9626.154335 211436.332222 3980376.569295 6541486.380819 15081566.332947 6102201.896902 282354.533067 781427.195718 57671.807143 155212.753748 4610557.217402 3667845.228301 0.000301 0.084398 0.000301 6060891.566803 1264130.818961 5091599.926743 750732.387716 3116856.886584 3591003.148073 2283519.311576 26051.324201 351668.897114 60892347.092309 84797.799613 3145387.092921 0 574558725.774601 0.309477 6.868274 61.636364 1.851043 160.240566 1.467524
1241 361972.764256 645561.34059 55921.002785 99306.94803 14988.103192 116968.648857 96878.890912 54295.949842 13140.41058 56831.575695 52028.579042 3318.633786 69236.191592 1223491.930717 237512.498449 2005.914934 332261.737052 347095.109008 303244.336003 147071.090909 4722761.224199 91408.672966 100877.41397 1882132.659727 8150.810355 214776.057843 376507.496378 35202.117831 265567.012914 9258.067222 135933.495347 27853.187668 6143.156714 432733.663113 270971.363815 601.524338 4097.324996 2577360.862699 519390.787082 212049.887649 113681.301898 293126.299436 142504.209861 12559.469901 918956.863861 2208.759558 14869.594221 130500.463227 527515.979333 470047.487902 124773.867394 1577.726826 1882.378138 4888.62794 11301.889101 10609.966781 6075.566978 1792.324924 32873.831047 7860.043234 210373.374731 3980210.620453 6536723.37337 15069167.556447 6125133.227666 282202.540994 784407.430105 55439.433572 137185.23403 4765237.364749 3668601.932938 0.000301 0.084778 0.000301 6064131.411254 1260468.285803 4781441.016497 666028.707686 3770371.884861 3367721.789904 2514826.861385 36511.285484 334577.262154 60949320.268753 118707.773532 2639510.927289 0 582844366.914899 0.382763 2.372383 67.590909 1.851815 179.586905 1.466606
1314 348073.377074 732455.876574 52716.781091 88785.007668 13399.219486 124581.801439 101185.982651 54341.446018 12366.241765 53923.468359 51476.666032 2961.548991 64714.879057 1160827.8272 224462.773967 1632.088668 367679.474215 399388.301955 339017.157964 163175.855119 4915349.705133 98495.102681 107231.323279 1673793.495994 6715.073613 220335.480341 312397.332132 31665.638924 232755.081784 8785.360508 139395.791178 29135.324515 6286.502309 354623.52718 262125.434635 531.910408 4240.292182 2686569.986836 530943.687624 225275.079524 121213.684191 276564.793859 125199.991234 10938.433147 805634.18533 2251.950084 15025.300284 142648.091644 487642.337846 394561.538246 114764.979255 1429.844299 1881.600904 4522.736577 10384.37224 10608.071197 6075.546833 1848.45673 25481.228213 6023.671712 209746.435198 3978565.339479 6528621.597963 15050393.845885 6193422.280731 282428.17752 788927.437742 53141.326433 118768.160744 4992524.602019 3675115.379928 0.000301 0.08562 0.000301 6067969.072986 1254167.422588 3344051.285566 610143.365972 4352284.067443 3298065.662909 3451831.898427 54521.162294 316038.611892 61073907.019722 160149.730513 3300290.33762 0 599222641.73315 0.423669 2.31011 69.909091 1.852402 180.081233 1.464722
1387 359038.110547 653249.8731 50468.561876 96273.000929 13743.556915 122139.251277 104960.385121 53093.931635 12358.982046 54632.830602 52519.226433 3086.322671 62954.42495 1131289.879462 218770.135669 1779.917184 408159.133581 451267.50387 369521.041077 139705.300727 4565487.186608 106736.016814 114557.101041 1796384.68426 7378.280123 226709.496364 342743.730385 33489.453948 269832.980888 8832.600786 141315.07691 30548.617268 5746.103404 380960.427453 262231.987283 559.796906 4406.744165 2812618.640002 544120.739094 240750.79904 129571.592818 290696.732524 136470.938985 11650.58539 901803.398978 2241.403289 14833.048876 129205.238333 516468.062463 409063.766924 116642.314425 1675.606504 1881.596795 4101.173235 9401.159859 10587.778297 6065.226553 1912.160826 20182.346114 4661.401398 209317.064352 3977374.111265 6520393.88839 15028561.609985 6299247.264007 282718.898762 794323.027324 51574.489619 105516.971613 5248785.558974 3684067.170144 0.000301 0.086191 0.000301 6072287.668056 1246446.296269 5039934.16815 646609.245238 5227223.440666 3267545.63291 3928337.096583 61425.781297 300237.168459 61213360.725869 175394.040292 4427997.450128 0 623378488.164192 0.301802 5.059615 65.590909 1.85159 144.609328 1.462493
1460 368390.306875 713415.252128 52311.581049 97284.197966 14255.245445 127982.790817 108117.601213 53286.71811 12694.840342 57002.870018 53589.903756 3234.0203 62954.42495 1131289.879462 218770.135669 1918.449191 433849.540838 488723.45366 389746.616126 146450.260558 4856387.74324 113092.885617 122161.651128 1904747.293275 7932.426852 233250.634294 370941.456283 34234.592927 291358.279578 8871.148154 143738.824329 31967.549239 5939.891458 397899.113294 261880.179552 573.866019 4582.535007 2914464.636191 555554.995564 256403.413443 137021.861481 301954.078932 143105.260331 12106.745282 963645.799042 2241.403289 14833.048876 129205.238333 541016.121202 426753.274621 120187.045953 1675.606504 1881.597015 4063.901904 9311.495121 10586.974702 6065.221711 1965.547573 47122.993956 11421.452893 208549.58589 3976912.784237 6515208.817742 15011696.605868 6364090.716712 282430.142149 798818.030007 57294.388276 165868.114405 5323711.507519 3688653.342647 0.000301 0.086113 0.000301 6076291.485706 1241352.668389 4903038.570766 799905.581624 3684418.497488 3157544.470692 2972683.065846 36230.778881 287298.23083 61298711.499292 110486.891954 4267749.594049 0 640557498.414059 0.302452 7.629498 60.272727 1.851298 133.657153 1.460908
1533 370791.760976 793545.239378 53281.065054 96668.512856 14536.668815 132298.500862 95189.847803 53422.368826 12938.027969 58808.37923 54485.492743 3337.248927 64344.189343 1228626.489291 237031.711616 2028.424384 448815.199387 515305.3765 399968.124898 167322.157571 5016655.239829 92525.125845 108039.748978 1983373.140982 8357.043987 202605.635919 392666.30174 34527.788066 304511.016359 8872.490217 146008.365422 33101.187604 6091.18749 403860.522633 261573.004961 581.191839 3838.109452 2432783.065667 491595.516524 212385.14395 118131.084773 309849.637798 147203.081387 12403.522967 1004035.048956 2241.403289 14833.048876 129205.238333 558134.240832 438355.840891 121954.72823 1675.606504 1881.598511 4063.901904 9311.495121 10586.974702 6065.221711 1742.094767 35714.76991 8427.116349 207439.439915 3975252.7396 6508369.831202 14997052.507198 6377036.92481 281686.563671 801857.912942 53598.774696 136932.155206 5290765.466793 3692242.91342 0.000301 0.086326 0.000301 6079746.963465 1237780.423438 5064621.65101 813015.977354 3116913.32215 2903693.450879 2324987.097087 25965.683707 274352.811898 61351918.393389 84816.336316 3221186.166623 0 648558227.501521 0.319161 7.87382 61.636364 1.852906 126.805931 1.459346
