"time" "MAK" "HER" "WHK" "BLF" "WPF" "SUF" "WIF" "WTF" "FOU" "HAL" "PLA" "FLA" "BFT" "TUN" "BIL" "MPF" "BUT" "BPF" "ANC" "GOO" "MEN" "FDE" "COD" "SHK" "OHK" "POL" "RHK" "BSB" "SCU" "TYL" "RED" "OPT" "SAL" "DRM" "STB" "TAU" "WOL" "SDF" "FDF" "HAD" "YTF" "DOG" "SMO" "SSH" "DSH" "BLS" "POR" "PSH" "WSK" "LSK" "SK" "SB" "PIN" "RWH" "BWH" "SWH" "TWH" "INV" "LSQ" "ISQ" "SCA" "QHG" "CLA" "BFF" "BG" "LOB" "BMS" "NSH" "OSH" "ZL" "BD" "MA" "MB" "SG" "BC" "ZG" "PL" "DF" "PS" "ZM" "ZS" "PB" "BB" "BO" "DL" "DR" "DC" "DIN" "PelDemRatio" "PiscivPlankRatio" "DivCount" "InfEpiRatio" "BSSslope" "HabitCover"
0 348686.362057 355429.942797 64199.830108 128590.560742 15646.866927 109821.173795 105491.434038 59456.867473 13086.755253 53397.189149 59315.062681 1698.979775 23393.473963 448479.607756 59364.601765 1661.015607 96197.035481 229656.869824 265550.21808 86763.500447 3351278.615442 72994.004892 81843.718272 468101.700047 5219.941399 247295.383633 145475.564555 38873.926942 91572.944119 11780.548937 116462.250145 32579.665647 5580.343107 389488.239499 271961.059037 729.193513 5096.129455 3097977.945995 623561.925479 148302.578011 99318.24566 272079.999302 92844.890844 12067.743012 432050.637121 2366.398925 17395.836285 147848.250122 508070.768196 416164.655166 138215.024205 1487.880977 1722.399425 14803.94018 59583.725855 9872.136749 5641.930958 1916.129753 13932.992016 9984.292356 225479.999998 3999999.999968 6688270.941798 15347123.986184 5020477.35366 260999.999997 722763.13284 45019.339673 89863.904477 823134.928186 3752440.684908 53524.928353 0 20571.616115 6006714.342678 1357288.844531 3777969.218999 616095.117616 4006014.053935 882400.643015 3476921.936657 9161.840286 608869.228836 60255023.496072 15052391.318573 60209.565274 0 329357996.662675 0 0 0 0 818.77632 4.116939
73 346758.25812 365936.448607 64037.641145 126413.892436 15760.003616 120850.806755 99378.385049 59399.876397 13201.996846 53822.834441 59616.314935 1859.3406 28545.881074 669933.203657 76370.983846 1693.735355 115318.546106 237682.60089 270124.206213 88923.68596 3359753.144119 69918.045545 77945.209607 515091.644401 5516.215079 230201.543187 167086.097148 38875.143782 98717.308234 11710.202294 116450.068344 33047.914752 5655.457677 379497.955297 271840.144874 728.55718 4449.805727 2735954.960092 554833.165036 142924.844549 92572.43969 274497.490092 96671.881325 12262.77267 459947.697989 2364.882815 17079.446622 155127.946819 514066.56249 464089.309552 138602.075288 1380.29948 1722.399643 11763.488557 40971.873764 9871.153802 5641.921929 1738.7967 12930.058526 9270.34016 224238.228868 3997390.427977 6674444.01768 15328568.828255 5213008.256459 262411.941883 725163.449483 47671.623383 93604.646985 866395.870556 3745546.304958 0.000301 0.065279 27957.560941 6008846.271834 1353516.522419 4678877.00245 478277.763991 3127620.345671 1036182.711438 2192080.87072 63223.910633 800991.455887 60228300.39851 89938.475994 2406983.48324 0 340902200.925977 0.392569 2.808276 67.5 1.870307 627.324263 1.545303
146 344892.541105 375189.820969 63867.296345 124878.640737 15882.26088 120462.222757 100898.168721 55628.173663 13317.000087 54233.940567 55634.089044 2010.020867 28148.302463 664089.860063 76218.543765 1725.488987 112428.059669 226983.367021 257214.734672 92072.184202 3370690.044448 72717.293263 80403.612502 565712.243236 5795.138104 233375.635682 187415.609474 38944.728277 106879.307724 11638.228182 112975.473902 28911.382658 5729.838062 402442.462602 271718.36326 728.342005 4519.488736 2775857.946302 563207.658613 155410.491744 97306.598286 277826.875993 101035.820183 12475.156157 490704.96656 2363.432188 16787.641028 160062.632521 516262.506041 493842.042998 139016.457143 1287.444179 1722.398726 9980.43799 31672.501546 9870.111619 5641.911514 1778.940036 12018.485705 8658.283646 223104.721418 3996594.846433 6665234.178154 15314613.800297 5239711.975018 263688.75618 727602.228135 50276.254463 97851.051873 929872.442737 3739319.958665 0.000301 0.074978 76237.831557 6011089.001586 1349315.485267 4583536.553644 412609.66608 3806612.264376 1236363.031083 2525144.472714 48664.630601 756532.971821 60213652.837907 120104.826442 2070147.385437 0 351617999.265009 0.379356 2.047985 69.590909 1.866277 514.265811 1.620606
219 343747.675112 387733.273845 59294.204436 112680.546385 14645.615111 120627.062838 104320.515445 55568.732812 12478.439098 50730.494509 55714.85773 1913.587548 26174.980181 625598.169659 72026.83254 1549.08937 161133.125358 250695.501959 277252.212162 96100.383044 3396097.893829 76635.165822 83781.340868 569303.087774 5109.513535 236522.929999 168676.193307 35692.02902 104998.044807 10337.348353 135226.334315 29624.143742 5835.313434 351689.459026 253492.616685 631.767128 4587.124654 2828689.124813 568710.901728 169019.278228 105587.537823 245077.407175 94800.405155 11189.521272 467956.337861 2362.039271 16517.602904 165594.998689 461584.121044 424847.377246 128233.612645 1159.67467 1850.792525 8175.9175 23811.224351 9868.309266 5641.896668 1815.814704 10653.128334 7742.506095 222343.338121 3994210.289746 6651660.169262 15292236.085414 5305859.636957 265743.028409 731308.879979 53364.624683 105293.300295 1045551.285513 3730543.312621 0.000301 0.077793 49011.445586 6013874.474417 1341216.108622 3366122.069443 363921.717417 4369576.804241 1684947.551856 3550381.455895 55466.156865 707912.766551 60223312.657897 161347.343846 2817777.647047 0 368918580.223864 0.387431 1.992756 69.772727 1.866062 412.837334 1.567439
292 341483.126391 336793.485396 60657.666678 116569.81061 14952.516939 109511.002264 107238.425658 57013.84085 12493.462242 51111.370488 56315.740677 2114.412364 25915.063788 621602.715469 71884.776569 1633.683507 217294.262415 273625.751175 293354.519721 89487.57105 3007688.513884 81163.89685 87669.758949 700820.672834 5686.387994 240190.356366 198847.988072 36850.636199 128825.84407 10341.085056 135366.671681 30379.443505 5243.719169 399650.451085 282843.783679 645.237369 4665.899009 2889566.837457 574555.100811 184892.987668 114733.764962 252080.628592 105467.708981 11693.243472 540343.165878 2149.585157 14956.888647 135667.09767 474625.325357 450766.361167 128557.279357 1391.718362 1884.511679 6649.995607 18334.964638 9855.128919 5635.574267 1857.423267 9173.943976 6720.731651 221769.476459 3992672.939479 6638684.070065 15269084.41763 5404805.584828 268341.490048 735835.12291 57221.357038 114965.490929 1246159.868567 3719154.831853 0.000301 0.079468 7868.335835 6017320.613058 1331869.205677 5193825.610177 417165.652225 5217344.284475 2258716.353076 4005734.771997 62125.916369 666105.007676 60245528.796246 174437.938572 3979733.495061 0 393595944.535332 0.276305 3.897023 65.727273 1.86466 312.505602 1.497803
365 342500.775248 343406.256729 62126.026595 116010.353881 15277.472163 109059.061854 109672.576305 57451.637352 12706.128169 51971.67875 56836.044776 2336.070492 25915.063788 621602.715469 71884.776569 1698.728239 253502.593378 290413.263582 304883.555091 92953.119954 3567774.140974 84663.613099 91695.869474 810308.547167 6133.975276 243983.691633 226634.970657 37229.425742 142727.329133 10297.413432 135629.127027 31135.946842 5431.519474 428774.05667 285975.920018 649.639455 4749.578358 2939675.991327 579949.644878 200991.378663 122830.54015 257614.098752 111687.367969 12021.988543 587325.283488 2149.585157 14956.888647 135667.09767 485604.289601 481239.573144 130700.90413 1391.718362 1884.509416 6529.118974 17913.690944 9854.33442 5635.56966 1892.316221 44626.346777 13546.33487 220907.609461 3992035.904096 6629837.914158 15253974.065534 5472817.688231 270510.263308 739808.430367 73995.558764 192217.123466 1429687.653194 3709042.820263 0.000301 0.080248 1612.143837 6020788.678349 1326107.790869 5130430.397847 547911.352677 3669834.0881 2644483.0482 2999535.289628 36104.692492 632711.293609 60259358.339208 108163.014646 3848359.066432 0 411503933.729837 0.294776 5.518205 60.363636 1.861834 300.923096 1.487277
438 343129.912055 362223.015658 62173.236989 114411.042073 15426.784181 108872.903521 99092.572847 57415.968908 12852.935883 52614.573272 57257.906293 2488.906673 29910.769505 707213.30897 83557.062857 1751.14579 275196.107666 302536.245824 311307.62638 99285.353795 3665000.638035 73881.317139 81419.1004 888972.227735 6479.020168 224091.161799 248085.579729 37295.875361 151408.153405 10237.967006 135926.590678 31740.215148 5569.74147 437666.605435 285902.96564 650.378478 4291.177669 2657380.018694 542964.37191 166704.597554 103935.055092 261364.482403 115567.15568 12239.309829 618384.586843 2149.585157 14956.888647 135667.09767 493052.28992 499652.720827 131328.058444 1391.718362 1884.509103 6529.118974 17913.690944 9854.33442 5635.56966 1747.381631 40489.497847 12086.51022 219762.797519 3990329.55578 6620499.874355 15241125.798074 5497643.827266 271727.085612 742648.682771 71407.372999 178685.867712 1565153.539766 3703666.418866 0.000301 0.080642 900.629614 6024048.662481 1322214.218225 5334211.399104 598129.686772 3116744.017605 2822200.439528 2340218.171997 25969.608821 600054.701425 60266265.017065 83865.130346 2874913.167996 0 420812636.92936 0.305553 4.750625 61.772727 1.861037 297.657593 1.484842
511 343498.124048 382125.779873 62205.356382 113584.167764 15585.217037 108793.933463 100013.061828 56731.21475 12998.610325 53232.001443 54633.515598 2631.902841 38974.445008 809348.484969 110055.202295 1801.25579 226834.982077 259002.122254 274859.811793 105026.617766 3769160.086239 77619.73919 84210.282516 972759.812999 6799.93593 227868.751572 268249.826097 37434.262576 161291.799903 10175.991791 133943.238807 28471.842281 5697.034005 453894.59088 285828.561067 651.596257 4374.639155 2707138.143169 549546.650305 179028.206159 105788.313439 265232.263667 119980.438809 12475.712998 652535.288371 2149.585157 14956.888647 135667.09767 495629.825236 513416.826587 131976.587554 1417.990191 1884.508576 6913.230314 18275.898578 10126.877284 5792.014011 1785.169916 36955.13849 10923.777213 218680.097516 3990123.929824 6614282.634987 15230332.40638 5527699.753748 272786.699355 745427.688305 69325.921484 167542.454037 1730110.370805 3698816.239387 0.000301 0.080376 1197.094567 6027107.011305 1318040.168719 5054288.113517 516917.322019 3770245.05628 3004318.184356 2558774.490165 36503.302408 567770.066091 60287082.702218 117208.607024 2387389.144288 0 430106968.232014 0.36359 2.002981 67.727273 1.860179 318.465168 1.484328
584 345458.791891 408860.823165 58872.66085 101899.738641 14222.645862 110219.091812 103671.052102 56691.80936 12461.851497 51016.300335 54390.084696 2420.684418 37994.174936 797751.215551 109211.224386 1567.0346 274061.652887 291788.762344 298289.710391 112120.066423 3924240.12192 82728.324307 88546.592624 933030.015913 5664.864047 231850.714272 227065.182508 33744.469263 145398.458649 9812.067112 135054.111252 29338.872402 5860.069595 377038.519141 281059.145014 595.071879 4462.195522 2776495.756438 556603.377312 192417.211349 114098.805354 248951.754943 105857.445994 11022.743084 580931.810021 2192.807953 15132.587617 145775.494989 457609.910494 428259.426468 122771.321235 1256.873069 1883.328281 6099.545733 15645.751653 10125.014991 5791.998825 1829.34113 31957.379131 9269.199581 217988.388656 3988404.231259 6604121.089836 15211915.653811 5600007.726482 274476.973093 749536.046951 67193.911686 154230.231237 2016853.729751 3692883.96346 0.000301 0.080723 302.397479 6030703.776021 1310483.877115 3631055.539757 465822.744561 4352159.865379 3332536.026777 3468029.028264 54490.876576 533048.084179 60353853.47061 158298.755929 3044898.572779 0 447154996.554981 0.402764 1.930599 70.045455 1.858766 282.365828 1.481225
657 337388.281076 365243.663438 57802.188916 106737.360901 14515.784629 104107.835902 106894.155589 56026.986246 12473.210462 51332.737925 55061.694474 2599.921812 37457.180024 791144.780545 108899.431311 1664.52998 329023.779023 324196.545506 318307.161067 94198.639402 3855828.981597 88669.226498 93560.45671 1121606.881168 6258.256664 236438.89581 257703.25095 35125.626941 173685.908167 9796.156898 135498.780872 30296.274728 5555.178789 409001.054281 280847.586824 610.914824 4564.176263 2856633.641397 564689.140597 208080.137761 123344.021152 257872.023821 116833.858427 11593.788686 661555.409443 2176.91679 14901.238612 132562.333915 473948.130107 445323.431846 123420.895136 1486.401434 1883.321237 5271.856944 13258.775915 10107.368983 5783.173773 1879.493419 27046.846576 7584.098668 217482.335073 3987258.744762 6593718.36447 15190723.93993 5708637.657931 276551.623659 754456.354245 65472.42411 142587.59116 2417083.051608 3684425.777064 0.000301 0.081497 10.418463 6034796.469635 1301480.69696 5322284.643338 507620.948333 5227065.277711 3638603.874779 3915979.637352 61574.077422 503304.682706 60434373.572821 174176.69531 4179180.134555 0 471851309.326572 0.301825 4.325058 65.727273 1.855794 224.728817 1.478552
