"Time" "MAK" "HER" "WHK" "BLF" "WPF" "SUF" "WIF" "WTF" "FOU" "HAL" "PLA" "FLA" "BFT" "TUN" "BIL" "MPF" "BUT" "BPF" "ANC" "GOO" "MEN" "FDE" "COD" "SHK" "OHK" "POL" "RHK" "BSB" "SCU" "TYL" "RED" "OPT" "SAL" "DRM" "STB" "TAU" "WOL" "SDF" "FDF" "HAD" "YTF" "DOG" "SMO" "SSH" "DSH" "BLS" "POR" "PSH" "WSK" "LSK" "SK" "SB" "PIN" "RWH" "BWH" "SWH" "TWH" "INV" "LSQ" "ISQ" "SCA" "QHG" "CLA" "BFF" "BG" "LOB" "BMS" "NSH" "OSH" "ZL" "BD" "MA" "MB" "SG" "BC" "ZG"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
365 14054.980843 0 2377.658927 17950.809198 594.666153 9298.550989 1202.242324 569.68018 0 42.961493 998.827744 0 203.66607 118.193929 174.2314 0 1321.143843 70.320234 0 10199.832961 29483.447904 421.274287 1493.961286 6725.253022 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 419.904995 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
730 13963.16823 0 2362.127132 17872.951683 594.666153 9298.550989 1202.242324 569.68018 0 42.961493 998.827744 0 133.246386 77.579381 114.114861 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
1095 13963.16823 0 2362.127132 17872.951683 594.666153 9298.550989 1202.242324 569.68018 0 42.961493 998.827744 0 132.417449 76.89774 113.353472 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
1460 13963.16823 0 2362.127132 17872.951683 594.666153 9290.731781 1202.242324 569.68018 0 42.961493 998.827744 0 132.311001 76.891508 113.303778 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
1825 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.367758 76.893478 113.309878 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
2190 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.386535 76.937211 113.327383 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
2555 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.39863 76.978387 113.347713 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
2920 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.401814 77.029437 113.357338 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
3285 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.397575 77.057571 113.356761 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
3650 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.385543 77.065281 113.34536 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
4015 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.369875 77.06999 113.327601 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
4380 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.356967 77.079278 113.313752 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
4745 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.352919 77.094873 113.309554 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
5110 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.372868 77.113877 113.315483 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
5475 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.461768 77.130993 113.326152 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
5840 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.802174 77.140394 113.334734 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
6205 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.783255 77.140747 113.387145 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
6570 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.731584 77.134737 113.434823 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
6935 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.577583 77.125302 113.546982 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
