pred.names,prey.names,R/J,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,final.value
1BLF2,SUF,J,0.08,0.15,0.15,0.15
2BLF2,SUF,J,0.025,0.05,0.05,0.05
1GOO1,SUF,J,0.025,0.05,0.05,0.05
2GOO1,SUF,J,0.025,0.05,0.05,0.05
1GOO2,SUF,J,0.06,0.12,0.12,0.12
2GOO2,SUF,J,0.04,0.09,0.09,0.09
1SHK1,SUF,J,0.0125,0.05,0.05,0.05
1SHK2,SUF,J,0.0125,0.05,0.05,0.05
2SHK2,SUF,J,0.005,0.01,0.01,0.01
1DOG1,SUF,J,0.13,0.2625,0.2625,0.2625
2DOG1,SUF,J,0.13,0.2625,0.2625,0.2625
1DOG2,SUF,J,0.13,0.2625,0.2625,0.2625
2DOG2,SUF,J,0.13,0.2625,0.2625,0.2625
ZM,SUF,J,0,0.01,0.01,0.01
ZS,SUF,J,0,0.05,0.05,0.05
1SHK1,FOU,J,0.02,0.09,0.09,0.09
1SHK2,FOU,J,0.02,0.09,0.09,0.09
2SHK2,FOU,J,0.04,0.09,0.09,0.09
1HER1,HAL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,HAL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,HAL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,HAL,J,0,1.00E-05,1.00E-05,0.00001
1ANC1,HAL,J,0,1.00E-05,1.00E-05,0.00001
2ANC1,HAL,J,0,1.00E-05,1.00E-05,0.00001
1ANC2,HAL,J,0,1.00E-05,1.00E-05,0.00001
2ANC2,HAL,J,0,1.00E-05,1.00E-05,0.00001
1DOG1,HAL,J,0.025,0.01,0.01,0.01
1DOG2,HAL,J,0.025,0.05,0.05,0.05
2DOG2,HAL,J,0.025,0,0,0
SCA,HAL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,HAL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,HAL,R,0.25,0,0,0
ZM,HAL,J,0,0.05,0.05,0.05
ZS,HAL,J,0,0.001,0.001,0.001
1GOO1,PLA,J,0.025,0.05,0.05,0.05
2GOO1,PLA,J,0.025,0.05,0.05,0.05
1GOO2,PLA,J,0.06,0.12,0.12,0.12
2GOO2,PLA,J,0.045,0.09,0.09,0.09
1SHK1,PLA,J,0.025,0.05,0.05,0.05
1SHK2,PLA,J,0.025,0.05,0.05,0.05
1POL2,PLA,J,0.025,0.05,0.05,0.05
2POL2,PLA,J,0.05,0.1,0.1,0.1
1WPF1,FLA,J,0.045,0.09,0.09,0.09
2WPF1,FLA,J,0.045,0.09,0.09,0.09
1WPF2,FLA,J,0.025,0.05,0.05,0.05
2WPF2,FLA,J,0.025,0.05,0.05,0.05
1HER1,BIL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,BIL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,BIL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,BIL,J,0,1.00E-05,1.00E-05,0.00001
1ANC1,BIL,J,0,1.00E-05,1.00E-05,0.00001
2ANC1,BIL,J,0,1.00E-05,1.00E-05,0.00001
1ANC2,BIL,J,0,1.00E-05,1.00E-05,0.00001
2ANC2,BIL,J,0,1.00E-05,1.00E-05,0.00001
SCA,BIL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,BIL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,BIL,R,0.25,0,0,0
ZM,BIL,J,0,0.05,0.05,0.05
ZS,BIL,J,0,0.001,0.001,0.001
1MAK1,MPF,J,0.05,0.2,0.2,0.2
2MAK1,MPF,J,0.05,0.2,0.2,0.2
1MAK2,MPF,J,0.05,0.2,0.2,0.2
2MAK2,MPF,J,0.05,0.2,0.2,0.2
1MPF1,MPF,J,1.00E-04,0.1,0.1,0.1
2MPF1,MPF,J,1.00E-04,0.1,0.1,0.1
1MPF2,MPF,J,1.00E-04,0.1,0.1,0.1
2MPF2,MPF,J,1.00E-04,0.1,0.1,0.1
1BSB1,MPF,J,0.05,0.09,0.09,0.09
2BSB1,MPF,J,0.05,0.09,0.09,0.09
1BSB2,MPF,J,0.025,0.09,0.09,0.09
2BSB2,MPF,J,0.025,0.09,0.09,0.09
1RED1,MPF,J,0.05,0.1,0.1,0.1
2RED1,MPF,J,0.05,0.1,0.1,0.1
1RED2,MPF,J,0.1,0.2,0.2,0.2
2RED2,MPF,J,0.1,0.2,0.2,0.2
ZM,MPF,J,0,0.01,0.01,0.01
ZS,MPF,J,0,0.05,0.05,0.05
1MAK1,BUT,J,0.05,0.1,0.1,0.1
2MAK1,BUT,J,0.005,0.1,0.1,0.1
1MAK2,BUT,J,0.005,0.1,0.1,0.1
2MAK2,BUT,J,0.005,0.1,0.1,0.1
1SHK1,BUT,J,0.005,0.1,0.1,0.1
2SHK1,BUT,J,0.005,0.1,0.1,0.1
1SHK2,BUT,J,0.005,0.1,0.1,0.1
2SHK2,BUT,J,0.005,0.1,0.1,0.1
1BSB1,BUT,J,0.05,0.09,0.09,0.09
2BSB1,BUT,J,0.05,0.09,0.09,0.09
1BSB2,BUT,J,0.05,0.09,0.09,0.09
2BSB2,BUT,J,0.05,0.09,0.09,0.09
1MAK1,BPF,J,0.05,0.2,0.2,0.2
2MAK1,BPF,J,0.05,0.2,0.2,0.2
1MAK2,BPF,J,0.05,0.2,0.2,0.2
2MAK2,BPF,J,0.05,0.2,0.2,0.2
1BSB1,BPF,J,0.05,0.2,0.2,0.2
2BSB1,BPF,J,0.05,0.2,0.2,0.2
1BSB2,BPF,J,0.025,0.09,0.09,0.09
2BSB2,BPF,J,0.025,0.09,0.09,0.09
ZM,BPF,J,0,0.01,0.01,0.01
ZS,BPF,J,0,0.05,0.05,0.05
1MAK1,ANC,J,0.01,0.05,0.05,0.05
2MAK1,ANC,J,0.005,0.05,0.05,0.05
1MAK2,ANC,J,0.005,0.05,0.05,0.05
2MAK2,ANC,J,0.005,0.05,0.05,0.05
1BSB1,ANC,J,0.05,0.2,0.2,0.2
2BSB1,ANC,J,0.05,0.2,0.2,0.2
1BSB2,ANC,J,0.025,0.09,0.09,0.09
2BSB2,ANC,J,0.025,0.09,0.09,0.09
1DOG2,ANC,J,0.05,0,0,0
2DOG2,ANC,J,0.05,0.105,0.105,0.105
LOB,ANC,R,0.125,0,0,0
1GOO1,GOO,J,1.00E-04,0.03,0.03,0.03
2GOO1,GOO,J,1.00E-04,0.03,0.03,0.03
1GOO2,GOO,J,1.00E-04,0.03,0.03,0.03
2GOO2,GOO,J,1.00E-04,0.03,0.03,0.03
1WOL1,GOO,J,0.025,0.05,0.05,0.05
1WOL2,GOO,J,0.035,0.07,0.07,0.07
2WOL1,GOO,J,0.025,0.05,0.05,0.05
2WOL2,GOO,J,0.025,0.05,0.05,0.05
1DOG1,GOO,J,0.055,0.1125,0.1125,0.1125
2DOG1,GOO,J,0.055,0.1125,0.1125,0.1125
1DOG2,GOO,J,0.055,0.1125,0.1125,0.1125
2DOG2,GOO,J,0.055,0.1125,0.1125,0.1125
ZM,GOO,J,0,0.05,0.05,0.05
1MAK1,MEN,J,0.05,0.1,0.1,0.1
1MAK2,MEN,J,0.01,0.1,0.1,0.1
